0.49776,0.85919,0.11847,-11.089,-13.295,56.557
-0.85985,-0.32084,-0.39714,12.236,10.021,47.488
-0.11216,-0.90234,-0.41617,1.5916,22.836,45.567
-0.77047,0.47644,-0.42353,22.787,-28.607,11.332
0.74718,0.60874,0.26676,-9.7068,-14.846,0
-0.80892,0.52086,-0.27268,23.447,-22.81,51.915
0.98581,0.034002,-0.16435,-25.674,18.025,30.516
0.64551,0.76166,0.056465,4.5342,-31.183,17.398
0.86851,0.46013,0.18431,-16.826,-5.0278,3.9818
-0.96592,-0.13682,-0.2197,17.58,7.6816,17.852
-0.83618,-0.54494,0.062,16.765,23.015,8.8185
0.17362,-0.94078,-0.29119,-6.1652,10.346,61.604
0.88916,0.018664,-0.45722,-18.812,-0.67776,70.47
-0.80505,0.016385,-0.59298,12.932,-2.1308,81.474
0.83328,-0.4156,-0.36459,-23.84,20.155,41.055
-0.81629,-0.57763,-0.003513,16.429,0.58774,53.738
-0.12305,0.95344,-0.27533,3.1771,-11.951,80.833
0.54059,-0.83664,-0.088248,-22.651,25.052,33.604
0.41632,0.80084,-0.43051,13.813,-21.849,52.052
-0.27717,-0.91375,0.29705,9.0963,27.457,4.7768
0.19346,0.97958,-0.054649,-0.43033,-17.284,62.005
0.77361,0.20736,-0.59878,-13.99,-2.4131,81.205
0.87787,0.44826,0.16858,-20.742,-2.5747,11.589
0.93778,0.27342,-0.21405,-26.626,11.608,23.316
0.95306,0.17836,-0.24468,-22.811,-0.45078,61.157
-0.4741,-0.6586,-0.58437,5.1845,15.295,52.781
0.6777,0.69879,0.22895,-15.685,-7.6606,47.579
0.40423,-0.86362,-0.30126,-3.7415,12.016,81.607
0.28323,0.95283,0.10911,-3.3094,-16.372,53.965
-0.79164,-0.17857,-0.58431,23.408,-16.647,12.453
0.8948,0.42823,-0.12632,-21.971,-0.2097,22.271
-0.3017,-0.2699,0.9144,14.313,16.235,0.97349
-0.14556,-0.97934,-0.1404,3.5197,10.899,64.264
