1.200000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.184636140787776100e+02 9.280215691916387399e+00 0.000000000000000000e+00
1.162317022246778748e+02 1.831309613437166206e+01 0.000000000000000000e+00
1.133297666205612870e+02 2.706020949978368861e+01 0.000000000000000000e+00
1.097966833611885846e+02 3.548032692631526430e+01 0.000000000000000000e+00
1.056718809982293692e+02 4.353210401069970459e+01 0.000000000000000000e+00
1.009949823455297775e+02 5.117568129857023251e+01 0.000000000000000000e+00
9.580709489448845773e+01 5.838254827820240678e+01 0.000000000000000000e+00
9.015001122582182802e+01 6.512943129173036994e+01 0.000000000000000000e+00
8.406552742791217270e+01 7.139308563631239224e+01 0.000000000000000000e+00
7.759495503524625803e+01 7.715273742977255722e+01 0.000000000000000000e+00
7.077805843018398946e+01 8.239550197519018582e+01 0.000000000000000000e+00
6.365429386846982851e+01 8.711006576435251247e+01 0.000000000000000000e+00
5.626307526331439135e+01 9.128518387608967544e+01 0.000000000000000000e+00
4.864188852828713294e+01 9.491273439067165896e+01 0.000000000000000000e+00
4.082553850768427139e+01 9.798893822278687082e+01 0.000000000000000000e+00
3.284863193725324493e+01 1.005103371861891475e+02 0.000000000000000000e+00
2.474559929969244365e+01 1.024736091081092582e+02 0.000000000000000000e+00
1.654894326383692871e+01 1.038769194987865916e+02 0.000000000000000000e+00
8.289977948013493858e+00 1.047193510661371079e+02 0.000000000000000000e+00
6.429395695523603956e-15 1.050000000000000000e+02 0.000000000000000000e+00
1.179017814790666421e+02 0.000000000000000000e+00 9.833561544453150560e+00
1.164539303400862309e+02 9.122709980264826157e+00 9.449603377229207624e+00
1.143203958766556099e+02 1.801192510603375396e+01 9.068346568499038085e+00
1.115258269022087205e+02 2.662956111779678281e+01 8.691619196672958125e+00
1.081070408907181388e+02 3.493438760751058680e+01 8.321674839222811926e+00
1.041013579858789626e+02 4.288504420429772779e+01 7.960784650369705950e+00
9.954634999143125640e+01 5.044157878117198379e+01 7.611198574834355135e+00
9.448151206040547834e+01 5.757480192436153743e+01 7.275004460578755605e+00
8.894722685575011667e+01 6.426049056436137619e+01 6.954215357668483755e+00
8.298388169540622528e+01 7.047444910686677133e+01 6.650843890226434851e+00
7.663155591536359168e+01 7.619487082618393003e+01 6.366831712304856339e+00
6.992934548333182931e+01 8.140757651377617776e+01 6.103893874688994359e+00
6.291615052206482517e+01 8.609990603670715359e+01 5.863700298472930506e+00
